BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part#,Mfr. Part Description,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,Comments,page number on schematic,part added to library?,Link to part,Link to datasheet
1,true,true,true,false,false,0,10022508,"CAPACITOR CERAMIC,10NF,+/-10%,50V,0603",C        ECO-R252633,15,Each,Production,,"C18,C19,C22,C37,C47,C49,C52,C83,C99,C111,C115,C116,C117,C118,C119",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB103,223858615636,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/cc0603krx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8250?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB104,223858615536,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/yageo/CC0603KRX7R9BB103/311-1085-2-ND/302819,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,KEMET_RMS1,C0603C103K5RACTU,,CERAMIC CHIP CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/kemet/c0603c103k5ractu/multilayer-ceramic-capacitor-c/dp/36X2611?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB103,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/cc0603krx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8250?CMP=AFC-SF-FC,
1,true,true,true,false,false,0,10022510,"CAPACITOR,330NF,+/-10%,16V,0805,X7R",C        ECO-R252633,1,Each,Production,,C76,,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0805KKX7R7BB334,222278015556,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/yageo/CC0805KKX7R7BB334/311-1882-1-ND/5195784,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,AVX_RMS1,0805YC334KAT2A,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.futureelectronics.com/fr/p/capacitors--ceramic-capacitors--multilayer-ceramic-capacitors/0805yc334kat2a-avx-2812303,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,KEMET_RMS1,C0805C334K4RACTU,,CERAMIC SURFACE MOUNT - X7R DIELECTRIC,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/kemet/c0805c334k4ractu/mlcc-capacitor-0-33uf-16v-x7r/dp/79H0577?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0805KRX7R7BB334,222278015656,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.arrow.com/en/products/cc0805kkx7r7bb334/yageo?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0805KKX7R7BB334,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.arrow.com/en/products/cc0805kkx7r7bb334/yageo?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,
1,true,true,false,false,false,0,10022532,"FILTER CC, 1MHZ-1GHZ, 10A, 50V",B        EC130338,3,Each,Production,,"FLTR1,FLTR2,FLTR3",,,,,,Part,CBRM,,1,,,true,false,"MURATA MANUFACTURING CO., LTD.",BNX002-01,,FILTER,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/bnx002-01/117511683?utm_term=bnx002-01&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,https://www.murata.com/en-us/api/pdfdownloadapi?cate=luNoiseSupprFilteBlockType&partno=BNX002-01
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",BNX00201,,NOISE/EMI SUPPRESSION FILTER,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/bnx002-01/117511683?utm_term=bnx002-01&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,https://www.murata.com/en-us/api/pdfdownloadapi?cate=luNoiseSupprFilteBlockType&partno=BNX002-01
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",BNX002-11,,NOISE/EMI SUPPRESSION FILTER,Active,Preferred,,,Yes,CLEARED,,,,https://www.tme.eu/en/details/bnx002-11/tht-suppression-filters/murata/?utm_campaign=compare-2020-04&utm_medium=cpc&utm_source=findchips.com,https://www.tme.eu/en/details/bnx002-11/tht-suppression-filters/murata/?utm_campaign=compare-2020-04&utm_medium=cpc&utm_source=findchips.com
1,true,true,false,false,false,0,10022539,RES SMD 39K OHM 0.1% 1/10W 0603,B        ECO-R252636,1,Each,Production,,R121,,,,,,Part,CBRM,,1,,,true,false,PANASONIC_RMS1,ERA-3AEB393V ,,CHIP RESISTOR RT SERIES,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.avnet.com/shop/emea/products/panasonic/era3aeb393v-3074457345629020703?CMP=EMEA_Octopart_inventoryfeed_VSE,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RT0603BRD0739KL,,,Active,Alternate,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.arrow.com/en/products/rt0603brd0739kl/yageo?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_11.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,VISHAY_RMS1,TNPW060339K0BEEA,,RES 39K OHM 0.1% 1/10W 0603,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.avnet.com/shop/us/products/vishay/tnpw060339k0beea-3074457345625391029?CMP=EMA_Octopart_inventoryfeed_VSE,http://www.vishay.com/docs/28758/tnpw_e3.pdf
1,true,true,false,false,false,0,10022546,"CAPACITOR, 1UF, +/-10%, 16V, 0805",A        ECO-R252636,2,Each,Production,,"C32,C57",,,,,,Part,CBRM,,1,,,true,false,AVX_RMS1,0805YC105KAT2A,,"CAP CER, 1UF, 16V, 20%, X7R, 0805, DIELECTRIC",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/avx/0805yc105kat2a/ceramic-capacitor-1uf-16v-x7r/dp/55J5445?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM21BR71C105KA01L,,MONOLITHIC CERAMIC CHIP CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/grm21br71c105ka01l/205651169?utm_term=grm21br71c105ka01l&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,
1,true,true,false,false,false,0,10022548,"RESISTOR,10K OHM.0.063W,+/-1%,0603",C        ECO-R252636,32,Each,Production,,"R10,R12,R16,R21,R23,R24,R25,R27,R28,R29,R30,R34,R36,R37,R38,R39,R40,R41,R46,R49,R50,R51,R60,R68,R77,R83,R84,R86,R89,R98,R105,R106",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,RC0603FR-0710KL,,RES 10.0K OHM 1/10W 1% 0603 SMD,Active,Preferred,,"EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,Rohs Compliant with exemption 7(c)-I for lead in glass. Exemption expires on 21 July 2021 for Medical devices,,,,https://canada.newark.com/yageo/rc0603fr-0710kl/res-thick-film-10k-1-0-1w-0603/dp/66R1987?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,SAMSUNG_RMS1,RC1608F103CS,,GENERAL PURPOSE CHIP RESISTOR,Active,Preferred,,"EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/rc1608f103cs/335022363?utm_term=rc1608f103cs&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,BOURNS_RMS1,CR0603-FX-1002ELF,,CHIP RESISTOR,Active,Preferred,,"EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/bourns/cr0603-fx-1002elf/res-thick-film-10k-1-0-1w-0603/dp/84W7233?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0603FR-0710KL,232270461003L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 10000 OHM, SURFACE MOUNT, 0603",Active,Preferred,,"BRAND: PHYCOMP; EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/rc0603fr-0710kl/res-thick-film-10k-1-0-1w-0603/dp/66R1987?CMP=AFC-SF-FC,
1,true,true,true,false,false,0,10022549,"RESISTOR,100KOHM,0.063W,+/-1%,0603",C        ECO-R252633,15,Each,Production,,"R15,R20,R31,R32,R42,R43,R53,R54,R58,R65,R94,R96,R97,R111,R123",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,RC0603FR-07100KL,232270461004L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 100000 OHM, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP.ROHS EXEMPTION - 7(C)-1,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/rc0603fr-07100kl/surface-mount-thick-film-resistor/dp/75X0140?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,BOURNS_RMS1,CR0603-FX-1003ELF,,GENERAL PURPOSE CHIP RESISTOR,Active,Preferred,,ROHS EXEMPTION - 7(C)-1,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/bourns/cr0603-fx-1003elf/res-thick-film-100k-1-0-1w-0603/dp/84W7235?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0603FR-07100KL,,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 100000 OHM, SURFACE MOUNT, 0603",Active,Preferred,,ROHS EXEMPTION - 7(C)-1,Yes - by exemption,RoHS compliant with 7(c)-I exemption and the exemption will be expired in 21 July 2021 for medical devices,,,,https://canada.newark.com/yageo/rc0603fr-07100kl/surface-mount-thick-film-resistor/dp/75X0140?CMP=AFC-SF-FC,
1,true,true,false,false,false,0,10022551,"RESISTOR,4.7KOHM,0.063W,+/-1%",C        ECO-R252636,2,Each,Production,,"R17,R26",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,RC0603FR-074K7L,,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 4700 OHM, SURFACE MOUNT, 0603",Active,Alternate,,"EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,2011/65/EU compliant with 7(c)-I exemption and the exemption will expired in 21 July 2021 for medical devices.,,,,https://www.maritex.com.pl/product/show_qr/43251,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,SAMSUNG_RMS1,RC1608F472CS,,RES SMD 4.7K OHM 1% 1/10W 0603,Active,Preferred,,"EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.arrow.com/en/products/rc1608f472cs/samsung-electro-mechanics?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,BOURNS_RMS1,CR0603-FX-4701ELF,,RES SMD 4.7K OHM 1% 1/10W 0603,Active,Preferred,,"EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.avnet.com/shop/us/products/bourns/cr0603-fx-4701elf-3074457345623674308?CMP=EMA_Octopart_inventoryfeed_VSE,https://www.bourns.com/docs/Product-Datasheets/CHPREZTR.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0603FR-074K7L,232270464702L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 4700 OHM, SURFACE MOUNT, 0603",Active,Preferred,,"BRAND: PHYCOMP; EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.arrow.com/en/products/rc0603fr-074k7l/yageo,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf
1,true,true,false,false,false,0,10022552,"RESISTOR,100 OHM,0.063W,+/-1%, 0603",B        ECO-R184640,1,Each,Production,,R11,,,,,,Part,CBRM,,1,,,true,false,BOURNS_RMS1,CR0603-FX-1000ELF,,CHIP RESISTOR,Active,Preferred,,,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/bourns/cr0603-fx-1000elf/res-thick-film-100r-1-0-1w-0603/dp/84W7231?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,SAMSUNG_RMS1,RC1608F1000CS,,GENERAL PURPOSE CHIP RESISTOR,Active,Preferred,,,,,,,,https://www.avnet.com/shop/us/products/samsung/rc1608f1000cs-3074457345626085346?CMP=EMA_FindChips_inventoryfeed_VSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,TYCO ELECTRONICS,CRG0603F100R,,THICK FILM CHIP RESISTOR,Active,Preferred,,,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.te.com/usa-en/product-1622828-1.html?elqCampaignId=87913&te_bu=Cor&te_type=srch&te_campaign=sfm_glo_cor-sfm-global-srch-prtnr-findchips-organic_sma-298_1,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0603FR-07100RL,232270461001L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 100 OHM, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/rc0603fr-07100rl/surface-mount-thick-film-resistor/dp/75X0141?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0603FR-07100RL,,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 100 OHM, SURFACE MOUNT, 0603",Active,Preferred,,,Yes - by exemption,2011/65/EU compliant with 7(c)-I exemption and the exemption will expired in 21 July 2021 for medical devices.,,,,https://canada.newark.com/yageo/rc0603fr-07100rl/surface-mount-thick-film-resistor/dp/75X0141?CMP=AFC-SF-FC,
1,true,true,false,false,false,0,10022554,"RESISTOR, 1K OHM, 0.063W,+/-1%, 0603",C        ECO-R252636,2,Each,Production,,"R82,R93",,,,,,Part,CBRM,,1,,,true,false,BOURNS_RMS1,CR0603-FX-1001ELF,,CHIP RESISTOR,Active,Preferred,,"EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/bourns/cr0603-fx-1001elf/res-thick-film-1k-1-0-1w-0603/dp/84W7232?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,VISHAY_RMS1,CRCW06031K00FKEA,,,Active,Alternate,,"EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.newark.com/vishay/crcw06031k00fkea/resistor-case-style-0603-1608/dp/25AC7272,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0603FR-071KL,,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 1000 OHM, SURFACE MOUNT, 0603",Active,Preferred,,"EXEMPTION LIST-7(C)-I,CONTAINS LEAD IN GLASS OR CERAMIC OTHER THAN DIELECTRIC CERAMIC CAPACITOR",Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/rc0603fr-071kl/res-thick-film-1k-1-0-1w-0603/dp/66R1908?CMP=AFC-SF-FC,
1,true,true,false,false,false,0,10022556,"RESISTOR, 22 K OHM,0.063W, +/-1%,0603",B        ECO-R184640,1,Each,Production,,R119,,,,,,Part,CBRM,,1,,,true,false,BOURNS_RMS1,CR0603-FX-2202ELF,,RES SMD 22K OHM 1% 1/10W 0603,Active,Preferred,,,,,,,,https://www.arrow.com/en/products/cr0603-fx-2202elf/bourns,https://www.bourns.com/docs/Product-Datasheets/CHPREZTR.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0603FR-0722KL,232270462203L*,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 22000 OHM, SURFACE MOUNT, 0603",Active,Preferred,,BRAND: PHYCOMP,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/rc0603fr-0722kl/surface-mount-thick-film-resistor/dp/75X0146?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,SAMSUNG_RMS1,RC1608F223CS,,PRECISION CHIP RESISTOR,Active,Preferred,,"7"" TAPE & REEL",,,,,,https://www.arrow.com/en/products/rc1608f223cs/samsung-electro-mechanics?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0603FR-0722KL,,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 22000 OHM, SURFACE MOUNT, 0603",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/rc0603fr-0722kl/surface-mount-thick-film-resistor/dp/75X0146?CMP=AFC-SF-FC,
1,true,true,false,false,false,0,10022557,"RESISTOR,1 KOHM,0.25W,+/-1%,1206",B        ECO-R184640,3,Each,Production,,"R69,R99,R115",,,,,,Part,CBRM,,1,,,true,false,SAMSUNG_RMS1,RC3216F1001CS,,PRECISION CHIP RESISTOR,Active,Preferred,,,,,,,,https://www.bristolelectronics.com/rc3216f1001cs-samsung-electronics-company-limited,
